Elements,Time
100,77
200,328
300,654
400,1180
500,2203
600,2353
700,2138
800,2335
900,3131
1000,4151
1100,5140
1200,5247
1300,6878
1400,7593
1500,9364
1600,9608
1700,11801
1800,12905
1900,14189
2000,15716
2100,17193
2200,18484
2300,20636
2400,23679
2500,24598
2600,26798
2700,28297
2800,29987
2900,33064
3000,33786
3100,35420
3200,37969
3300,41623
3400,43749
3500,46995
3600,49511
3700,52353
3800,57075
3900,58327
4000,61475
4100,65248
4200,70946
4300,72677
