Elements,Time
100,5
200,14
300,20
400,26
500,36
600,25
700,18
800,20
900,22
1000,30
1100,35
1200,36
1300,38
1400,51
1500,45
1600,60
1700,57
1800,59
1900,76
2000,63
2100,68
2200,66
2300,72
2400,78
2500,78
2600,85
2700,79
2800,81
2900,84
3000,88
3100,80
3200,94
3300,98
3400,102
3500,104
3600,105
3700,113
3800,100
3900,99
4000,110
4100,104
4200,115
4300,114
