Elements,Time,Distribution
700,731,ASCENDING
700,733,DESCENDING
700,101,ASHAPE
700,99,VSHAPE
800,127,UNIFORM
800,56,CONSTANT
800,946,ASCENDING
800,947,DESCENDING
800,109,ASHAPE
800,107,VSHAPE
900,157,UNIFORM
900,62,CONSTANT
900,1189,ASCENDING
900,1198,DESCENDING
900,134,ASHAPE
900,130,VSHAPE
1000,137,UNIFORM
1000,77,CONSTANT
1000,1465,ASCENDING
1000,1498,DESCENDING
1000,158,ASHAPE
1000,147,VSHAPE
1100,153,UNIFORM
1100,81,CONSTANT
1100,1862,ASCENDING
1100,1768,DESCENDING
1100,162,ASHAPE
1100,155,VSHAPE
1200,175,UNIFORM
1200,87,CONSTANT
1200,2186,ASCENDING
1200,2141,DESCENDING
1200,175,ASHAPE
1200,173,VSHAPE
1300,197,UNIFORM
1300,93,CONSTANT
1300,2447,ASCENDING
1300,2478,DESCENDING
1300,195,ASHAPE
1300,191,VSHAPE
1400,204,UNIFORM
1400,82,CONSTANT
1400,3074,ASCENDING
1400,3081,DESCENDING
1400,210,ASHAPE
1400,205,VSHAPE
1500,204,UNIFORM
1500,102,CONSTANT
1500,3365,ASCENDING
1500,3353,DESCENDING
1500,214,ASHAPE
1500,224,VSHAPE
1600,257,UNIFORM
1600,108,CONSTANT
1600,3716,ASCENDING
1600,3686,DESCENDING
1600,267,ASHAPE
1600,230,VSHAPE
1700,235,UNIFORM
1700,112,CONSTANT
1700,4263,ASCENDING
1700,4336,DESCENDING
1700,252,ASHAPE
1700,246,VSHAPE
1800,252,UNIFORM
1800,140,CONSTANT
1800,4675,ASCENDING
1800,5005,DESCENDING
1800,258,ASHAPE
1800,250,VSHAPE
1900,255,UNIFORM
1900,114,CONSTANT
1900,8436,ASCENDING
1900,5388,DESCENDING
1900,303,ASHAPE
1900,267,VSHAPE
2000,283,UNIFORM
2000,140,CONSTANT
2000,5778,ASCENDING
2000,5829,DESCENDING
2000,304,ASHAPE
2000,287,VSHAPE
2100,349,UNIFORM
2100,127,CONSTANT
2100,6333,ASCENDING
2100,6827,DESCENDING
2100,319,ASHAPE
2100,305,VSHAPE
2200,308,UNIFORM
2200,132,CONSTANT
2200,7053,ASCENDING
2200,7045,DESCENDING
2200,322,ASHAPE
2200,312,VSHAPE
2300,322,UNIFORM
2300,136,CONSTANT
2300,7762,ASCENDING
2300,7633,DESCENDING
