Elements,Time
100,10
200,24
300,33
400,40
500,50
600,47
700,31
800,47
900,52
1000,51
1100,55
1200,66
1300,77
1400,81
1500,70
1600,75
1700,83
1800,85
1900,84
2000,91
2100,95
2200,99
2300,103
2400,114
2500,112
2600,120
2700,116
2800,119
2900,123
3000,125
3100,131
3200,134
3300,144
3400,131
3500,150
3600,150
3700,170
3800,156
3900,150
4000,154
4100,158
4200,163
4300,215
