Elements,Time,Distribution
700,26,DESCENDING
700,30,ASHAPE
700,29,VSHAPE
800,46,UNIFORM
800,15,CONSTANT
800,52,ASCENDING
800,25,DESCENDING
800,31,ASHAPE
800,28,VSHAPE
900,48,UNIFORM
900,31,CONSTANT
900,60,ASCENDING
900,53,DESCENDING
900,57,ASHAPE
900,55,VSHAPE
1000,53,UNIFORM
1000,33,CONSTANT
1000,63,ASCENDING
1000,57,DESCENDING
1000,51,ASHAPE
1000,41,VSHAPE
1100,55,UNIFORM
1100,35,CONSTANT
1100,65,ASCENDING
1100,59,DESCENDING
1100,63,ASHAPE
1100,61,VSHAPE
1200,60,UNIFORM
1200,36,CONSTANT
1200,70,ASCENDING
1200,61,DESCENDING
1200,67,ASHAPE
1200,56,VSHAPE
1300,63,UNIFORM
1300,36,CONSTANT
1300,73,ASCENDING
1300,64,DESCENDING
1300,70,ASHAPE
1300,67,VSHAPE
1400,66,UNIFORM
1400,40,CONSTANT
1400,76,ASCENDING
1400,52,DESCENDING
1400,73,ASHAPE
1400,71,VSHAPE
1500,72,UNIFORM
1500,42,CONSTANT
1500,82,ASCENDING
1500,70,DESCENDING
1500,77,ASHAPE
1500,66,VSHAPE
1600,75,UNIFORM
1600,45,CONSTANT
1600,84,ASCENDING
1600,70,DESCENDING
1600,81,ASHAPE
1600,70,VSHAPE
1700,78,UNIFORM
1700,45,CONSTANT
1700,87,ASCENDING
1700,75,DESCENDING
1700,84,ASHAPE
1700,81,VSHAPE
1800,83,UNIFORM
1800,33,CONSTANT
1800,76,ASCENDING
1800,80,DESCENDING
1800,73,ASHAPE
1800,69,VSHAPE
1900,87,UNIFORM
1900,40,CONSTANT
1900,89,ASCENDING
1900,74,DESCENDING
1900,84,ASHAPE
1900,80,VSHAPE
2000,95,UNIFORM
2000,41,CONSTANT
2000,90,ASCENDING
2000,77,DESCENDING
2000,87,ASHAPE
2000,84,VSHAPE
2100,98,UNIFORM
2100,43,CONSTANT
2100,94,ASCENDING
2100,80,DESCENDING
2100,89,ASHAPE
2100,87,VSHAPE
2200,100,UNIFORM
2200,57,CONSTANT
2200,97,ASCENDING
2200,83,DESCENDING
2200,92,ASHAPE
2200,90,VSHAPE
2300,104,UNIFORM
2300,56,CONSTANT
2300,98,ASCENDING
2300,82,DESCENDING
2300,87,ASHAPE
2300,86,VSHAPE
2400,105,UNIFORM
2400,43,CONSTANT
2400,102,ASCENDING
2400,86,DESCENDING
2400,88,ASHAPE
2400,87,VSHAPE
2500,110,UNIFORM
2500,45,CONSTANT
2500,102,ASCENDING
2500,85,DESCENDING
2500,98,ASHAPE
2500,95,VSHAPE
2600,112,UNIFORM
2600,47,CONSTANT
2600,103,ASCENDING
2600,87,DESCENDING
2600,99,ASHAPE
2600,91,VSHAPE
2700,115,UNIFORM
2700,57,CONSTANT
2700,108,ASCENDING
2700,88,DESCENDING
2700,100,ASHAPE
2700,96,VSHAPE
2800,119,UNIFORM
2800,60,CONSTANT
2800,111,ASCENDING
2800,92,DESCENDING
2800,105,ASHAPE
2800,101,VSHAPE
2900,115,UNIFORM
2900,62,CONSTANT
2900,115,ASCENDING
2900,93,DESCENDING
2900,133,ASHAPE
2900,107,VSHAPE
3000,116,UNIFORM
3000,54,CONSTANT
3000,133,ASCENDING
3000,98,DESCENDING
3000,112,ASHAPE
3000,108,VSHAPE
3100,131,UNIFORM
3100,65,CONSTANT
3100,122,ASCENDING
3100,100,DESCENDING
3100,114,ASHAPE
3100,109,VSHAPE
3200,136,UNIFORM
3200,67,CONSTANT
3200,126,ASCENDING
3200,104,DESCENDING
3200,141,ASHAPE
3200,116,VSHAPE
3300,174,UNIFORM
3300,68,CONSTANT
3300,133,ASCENDING
3300,109,DESCENDING
